Category,Original Cost,Selected Cost,Cost Savings,Cost Reduction %,Avg Functional Score,Avg Design Score,Avg Cost Score
Windows,"$716,230.00","$716,230.00",$0.00,0.00%,5.00,5.00,1.00
Doors,"$2,910,693.00","$2,910,693.00",$0.00,0.00%,5.00,5.00,1.00
Appliances,"$1,232,710.00","$1,232,710.00",$0.00,0.00%,5.00,5.00,1.00
Overall,"$4,859,633.00","$4,859,633.00",$0.00,0.00%,5.00,5.00,1.00
