CODE	MATERIAL	TYPE	GLAZING	SIZE	DETAIL	MAT	INST	TOTAL		
6850	Aluminum	sliding	insul. glass	5' x 3'		"1,500"	177	"1,677"		
6900	Aluminum	sliding	insul. glass	8' x 4'		"2,225"	265	"2,490"		
6950	Aluminum	sliding	insul. glass	9' x 5'		995	400	"1,395"		
7000	Aluminum	single hung	std. glass	2' x 3'		410	159	569		
7050	Aluminum	single hung	std. glass	"2'-8"" x 6'-8"""		445	199	644		
7100	Aluminum	single hung	std. glass	"3'-4"" x 5'-0"""		380	177	557		
7150	Aluminum	single hung	insul. glass	2' x 3'		320	159	479		
7200	Aluminum	single hung	insul. glass	"2'-8"" x 6'-8"""		585	199	784		
7250	Aluminum	single hung	insul. glass	"3'-4"" x 5'"		415	177	592		
7300	Aluminum	double hung	std. glass	2' x 3'		390	114	504		
7350	Aluminum	double hung	std. glass	"2'-8"" x 6'-8"""		"1,150"	340	"1,490"		
7400	Aluminum	double hung	std. glass	"3'-4"" x 5'"		"1,075"	315	"1,390"		
7450	Aluminum	double hung	insul. glass	2' x 3'		520	132	652		
7500	Aluminum	double hung	insul. glass	"2'-8"" x 6'-8"""		"1,550"	390	"1,940"		
7550	Aluminum	double hung	insul. glass	"3'-4"" x 5'-0"""		"1,450"	365	"1,815"		
7600	Aluminum	casement	std. glass	"3'-1"" x 3'-2"""		365	186	551		
7650	Aluminum	casement	std. glass	"4'-5"" x 5'-3"""		885	450	"1,335"		
7700	Aluminum	casement	insul. glass	"3'-1"" x 3'-2"""		580	215	795		
7750	Aluminum	casement	insul. glass	"4'-5"" x 5'-3"""		"1,400"	520	"1,920"		
7800	Aluminum	hinged swing	std. glass	3' x 4'		725	229	954		
7850	Aluminum	hinged swing	std. glass	4' x 5'		"1,200"	380	"1,580"		
7900	Aluminum	hinged swing	insul. glass	3' x 4'		990	264	"1,254"		
7950	Aluminum	hinged swing	insul. glass	4' x 5'		"1,650"	440	"2,090"		
8200	Aluminum	picture unit	std. glass	"2'-0"" x 3'-0"""		233	114	347		
8250	Aluminum	picture unit	std. glass	"2'-8"" x 6'-8"""		690	340	"1,030"		
8300	Aluminum	picture unit	std. glass	"3'-4"" x 5'-0"""		650	315	965		
8350	Aluminum	picture unit	insul. glass	"2'-0"" x 3'-0"""		365	132	497		
8400	Aluminum	picture unit	insul. glass	"2'-8"" x 6'-8"""		"1,075"	390	"1,465"		
8450	Aluminum	picture unit	insul. glass	"3'-4"" x 5'-0"""		"1,025"	365	"1,390"		
8500	Aluminum	awning type	std. glass	"3'-0"" x 3'-0"""	2 lite	885	114	999		
8550	Aluminum	awning type	std. glass	"3'-0"" x 4'-0"""	3 lite	915	159	"1,074"		
8600	Aluminum	awning type	std. glass	"3'-0"" x 5'-4"""	4 lite	"2,325"	159	"2,484"		
8650	Aluminum	awning type	std. glass	"4'-0"" x 5'-4"""	4 lite	"2,725"	177	"2,902"		
8700	Aluminum	awning type	insul. glass	"3'-0"" x 3'-0"""	2 lite	805	114	919		
8750	Aluminum	awning type	insul. glass	"3'-0"" x 4'-0"""	3 lite	"1,050"	159	"1,209"		
8800	Aluminum	awning type	insul. glass	"3'-0"" x 5'-4"""	4 lite	"2,600"	159	"2,759"		
8850	Aluminum	awning type	insul. glass	"4'-0"" x 5'-4"""	4 lite	"1,025"	177	"1,202"		
