CODE	MATERIAL	TYPE	DOORS	SPECIFICATION	OPENING	MAT.	INST.	TOTAL
3950	Steel 18 Ga.	hollow metal	1 door w/frame	A label	"3'-0"" x 7'-0"""	"3,675"	480	"4,155"
4000	Steel 18 Ga.	hollow metal	1 door w/frame	A label	"3'-6"" x 7'-0"""	"4,525"	490	"5,015"
4050	Steel 18 Ga.	hollow metal	1 door w/frame	A label	"4'-0"" x 8'-0"""	"4,675"	515	"5,190"
4100	Steel 18 Ga.	hollow metal	2 doors w/frame	A label	"5'-0"" x 7'-0"""	"8,325"	880	"9,205"
4150	Steel 18 Ga.	hollow metal	2 doors w/frame	A label	"5'-4"" x 7'-0"""	"7,175"	890	"8,065"
4200	Steel 18 Ga.	hollow metal	2 doors w/frame	A label	"6'-0"" x 7'-0"""	"7,175"	890	"8,065"
4250	Steel 18 Ga.	hollow metal	2 doors w/frame	A label	"7'-0"" x 7'-0"""	"8,875"	910	"9,785"
4300	Steel 18 Ga.	hollow metal	2 doors w/frame	A label	"8'-0"" x 8'-0"""	"8,875"	910	"9,785"
4350	Steel 24 Ga.	overhead	sectional	manual oper.	"8'-0"" x 8'-0"""	"1,675"	700	"2,375"
4400	Steel 24 Ga.	overhead	sectional	manual oper.	"10'-0"" x 10'-0"""	"1,950"	775	"2,725"
4450	Steel 24 Ga.	overhead	sectional	manual oper.	"12'-0"" x 12'-0"""	"2,975"	930	"3,905"
4500	Steel 24 Ga.	overhead	sectional	manual oper.	"20'-0"" x 14'-0"""	"4,375"	"2,000"	"6,375"
4550	Steel 24 Ga.	overhead	electric oper.	manual oper.	"8'-0"" x 8'-0"""	"2,925"	"1,050"	"3,975"
4600	Steel 24 Ga.	overhead	electric oper.	manual oper.	"10'-0"" x 10'-0"""	"3,200"	"1,125"	"4,325"
4650	Steel 24 Ga.	overhead	electric oper.	manual oper.	"12'-0"" x 12'-0"""	"4,225"	"1,275"	"5,500"
4700	Steel 24 Ga.	overhead	electric oper.	manual oper.	"20'-0"" x 14'-0"""	"5,650"	"2,700"	"8,350"
4750	Steel	overhead	rolling	manual oper.	"8'-0"" x 8'-0"""	675	995	"1,670"
4800	Steel	overhead	rolling	manual oper.	"10'-0"" x 10'-0"""	995	"1,125"	"2,120"
4850	Steel	overhead	rolling	manual oper.	"12'-0"" x 12'-0"""	"1,375"	"1,325"	"2,700"
4900	Steel	overhead	rolling	manual oper.	"14'-0"" x 14'-0"""	"2,325"	"2,000"	"4,325"
4950	Steel	overhead	rolling	manual oper.	"20'-0"" x 12'-0"""	"3,375"	"1,775"	"5,150"
5000	Steel	overhead	rolling	manual oper.	"20'-0"" x 16'-0"""	"4,225"	"2,650"	"6,875"
5050	Steel	overhead	rolling	electric oper.	"8'-0"" x 8'-0"""	"1,875"	"1,325"	"3,200"
5100	Steel	overhead	rolling	electric oper.	"10'-0"" x 10'-0"""	"2,200"	"1,450"	"3,650"
5110	Steel	overhead	rolling	electric oper.	"10'-0"" x 10'-0"""	"3,275"	"2,000"	"5,275"
5150	Steel	overhead	rolling	electric oper.	"12'-0"" x 12'-0"""	"2,575"	"1,650"	"4,225"
5200	Steel	overhead	rolling	electric oper.	"14'-0"" x 14'-0"""	"3,525"	"2,325"	"5,850"
