Category,Original Cost,Selected Cost,Cost Savings,Cost Reduction %,Avg Functional Score,Avg Design Score,Avg Cost Score
Windows,"$716,230.00","$691,210.00","$25,020.00",3.49%,5.00,5.00,1.26
Doors,"$3,443,921.00","$2,348,801.00","$1,095,120.00",31.80%,4.92,4.92,1.31
Appliances,"$1,076,890.00","$969,201.00","$107,689.00",10.00%,5.00,5.00,2.00
Overall,"$5,237,041.00","$4,009,212.00","$1,227,829.00",23.45%,4.96,4.96,1.46
