Category,Original Cost,Selected Cost,Cost Savings,Cost Reduction %,Avg Functional Score,Avg Design Score,Avg Cost Score
Windows,"$716,230.00","$716,230.00",$0.00,0.00%,5.00,5.00,1.00
Doors,"$3,443,921.00","$3,443,921.00",$0.00,0.00%,5.00,5.00,1.00
Appliances,"$1,076,890.00","$1,076,890.00",$0.00,0.00%,5.00,5.00,1.00
Overall,"$5,237,041.00","$5,237,041.00",$0.00,0.00%,5.00,5.00,1.00
