Category,Original Cost,Selected Cost,Cost Savings,Cost Reduction %,Avg Functional Score,Avg Design Score,Avg Cost Score
Windows,"$716,230.00","$619,050.00","$97,180.00",13.57%,4.53,4.06,2.63
Doors,"$3,443,921.00","$1,571,886.00","$1,872,035.00",54.36%,3.03,3.03,4.94
Appliances,"$1,076,890.00","$969,201.00","$107,689.00",10.00%,5.00,5.00,2.00
Overall,"$5,237,041.00","$3,160,137.00","$2,076,904.00",39.66%,3.95,3.81,3.54
